id,age,city,value,order_date,start_time,end_time,name,email,qty,unit_price,score
1,,Los Angeles,61.0,"April 19, 2022",2021-10-05 06:00,2021-10-05 06:47,tina,tina@gmail.com,1,12,50
2,,seattle,43.0,2021-10-23,2021-07-17 14:00,2021-07-17 15:38,tina,tina@mail.com,1,11,54
3,,Boston,14.0,"August 04, 2022",2022-08-11 10:00,2022-08-11 13:00, Charlie ,charlie@mail.com,3,7,73
4,,newyork,,04-07-2021,2021-01-22 07:00,2021-01-22 08:24, Sam ,sam@abc.com,3,7,66
5,,Chicago,,2022-02-08,2021-01-22 08:00,2021-01-22 10:48,jack,jack@yahoo.com,5,13,46
6,31.0,NYC,,2023/09/03,2021-12-12 06:00,2021-12-12 07:07,SAM,sam@abc.com,5,14,39
7,,Austin,99.0,"November 18, 2022",2022-09-01 09:00,2022-09-01 11:21,bob,bob@yahoo.com,4,8,43
8,25.0,chicago,,2021-06-19,2022-10-18 15:00,2022-10-18 16:38,IRENE,irene@yahoo.com,3,10,49
9,32.0,san francisco,76.0,"September 22, 2022",2021-12-20 15:00,2021-12-20 15:40,oliver,oliver@yahoo.com,5,11,88
10,,new york,,2023/10/22,2021-07-05 11:00,2021-07-05 13:08, Karen ,karen@abc.com,1,9,30
11,40.0,Chicago,18.0,"May 15, 2021",2021-10-30 13:00,2021-10-30 14:11,bob,bob@yahoo.com,3,7,79
12,,Seattle,,2021/06/08,2022-08-13 09:00,2022-08-13 10:00, Alice ,alice@gmail.com,2,14,82
13,,San Francisco,,"July 04, 2021",2021-10-11 08:00,2021-10-11 08:55, Grace ,grace@mail.com,3,10,37
14,,Austin,,2021-03-07,2021-12-01 08:00,2021-12-01 10:45, Bob ,bob@gmail.com,3,10,60
15,,new york,,"May 27, 2023",2023-04-19 07:00,2023-04-19 08:21,JACK,jack@abc.com,3,10,48
16,,Chicago,,2022/11/09,2023-03-19 09:00,2023-03-19 11:17, Eve ,eve@mail.com,4,15,61
17,,new york,17.0,"January 13, 2022",2021-08-23 15:00,2021-08-23 15:38,FRANK,frank@gmail.com,1,13,45
18,,,10.0,"March 20, 2022",2021-01-12 10:00,2021-01-12 12:14,MIA,mia@gmail.com,5,12,36
19,,NYC,40.0,2022-08-22,2022-03-22 11:00,2022-03-22 11:45, Bob ,bob@gmail.com,5,9,56
20,31.0,Seattle,78.0,2021-07-25,2022-04-17 12:00,2022-04-17 14:21,charlie,charlie@gmail.com,4,8,64
21,,Los Angeles,80.0,2023-06-08,2023-05-19 09:00,2023-05-19 11:24, David ,david@yahoo.com,5,15,92
22,25.0,San Francisco,,2021-03-07,2021-06-12 10:00,2021-06-12 11:18,quinn,quinn@mail.com,3,11,81
23,51.0,Los Angeles,,2022/05/15,2021-10-04 11:00,2021-10-04 13:30, Quinn ,quinn@mail.com,5,14,63
24,57.0,LA,,2021-03-07,2021-09-17 09:00,2021-09-17 10:22,ALICE,alice@mail.com,5,12,41
25,,Miami,21.0,04-04-2021,2021-01-20 15:00,2021-01-20 16:05, Peter ,peter@mail.com,3,15,69
26,,newyork,26.0,2022-04-17,2023-06-11 15:00,2023-06-11 15:40,eve,eve@abc.com,2,13,78
27,21.0,LA,,2023-08-28,2023-02-15 11:00,2023-02-15 13:40,MIA,mia@abc.com,4,14,84
28,42.0,newyork,72.0,"February 08, 2023",2021-05-23 08:00,2021-05-23 08:38,GRACE,grace@abc.com,3,7,49
29,,newyork,18.0,"March 23, 2021",2021-03-18 08:00,2021-03-18 09:05,alice,alice@mail.com,2,13,58
30,35.0,Los Angeles,55.0,2022-04-05,2023-05-08 14:00,2023-05-08 15:36,frank,frank@gmail.com,4,13,51
31,,San Francisco,58.0,"September 30, 2023",2022-02-07 10:00,2022-02-07 11:46,leo,leo@yahoo.com,3,13,85
32,57.0,Miami,,2023/12/07,2022-05-20 15:00,2022-05-20 16:56,mia,mia@mail.com,2,13,39
33,70.0,chicago,34.0,2022-02-17,2023-03-10 06:00,2023-03-10 07:56, Tina ,tina@mail.com,4,15,54
34,,NYC,22.0,"August 07, 2022",2023-04-10 14:00,2023-04-10 15:54, Sam ,sam@abc.com,5,11,71
35,42.0,Austin,76.0,06-07-2021,2022-04-21 10:00,2022-04-21 11:59,karen,karen@gmail.com,4,10,82
36,62.0,,60.0,19-12-2023,2022-11-15 06:00,2022-11-15 08:36, Frank ,frank@abc.com,5,12,49
37,53.0,Chicago,,2023/03/29,2021-08-18 07:00,2021-08-18 08:57,bob,bob@abc.com,3,12,51
38,,Seattle,,2021-10-09,2022-01-12 15:00,2022-01-12 16:10,tina,tina@yahoo.com,5,11,91
39,,Los Angeles,,2022/11/29,2021-07-09 07:00,2021-07-09 09:32, Rita ,rita@gmail.com,3,10,90
40,60.0,San Francisco,43.0,2023-11-09,2021-07-14 09:00,2021-07-14 10:24,frank,frank@gmail.com,3,15,57
41,,seattle,,"June 20, 2023",2022-04-14 11:00,2022-04-14 12:05,jack,jack@mail.com,3,15,40
42,21.0,chicago,,"January 07, 2023",2023-06-04 10:00,2023-06-04 10:48, Leo ,leo@yahoo.com,3,15,39
43,39.0,,64.0,"June 16, 2022",2023-02-12 07:00,2023-02-12 08:08,frank,frank@yahoo.com,4,10,47
44,24.0,miami,,2023/09/06,2023-04-30 13:00,2023-04-30 15:39,DAVID,david@mail.com,1,7,48
45,,new york,,2021-09-06,2021-10-12 14:00,2021-10-12 15:15, Oliver ,oliver@gmail.com,2,13,33
46,,Austin,,"April 19, 2023",2021-05-02 11:00,2021-05-02 12:51, Grace ,grace@yahoo.com,1,15,99
47,32.0,chicago,53.0,2023/05/26,2022-04-19 06:00,2022-04-19 08:54,KAREN,karen@yahoo.com,1,13,45
48,47.0,Austin,,2023-09-13,2022-05-01 15:00,2022-05-01 16:36,jack,jack@mail.com,3,10,55
49,,,81.0,2022-08-29,2022-01-06 13:00,2022-01-06 14:30, Jack ,jack@abc.com,2,12,42
50,18.0,Boston,,"September 12, 2022",2022-06-11 14:00,2022-06-11 16:10,mia,mia@abc.com,5,12,63
51,,Los Angeles,25.0,29-01-2021,2021-04-01 13:00,2021-04-01 15:13,rita,rita@gmail.com,4,12,49
52,51.0,San Francisco,,"November 06, 2022",2022-02-01 09:00,2022-02-01 10:28, Charlie ,charlie@mail.com,2,13,96
53,,newyork,,16-09-2023,2021-01-16 10:00,2021-01-16 10:30,charlie,charlie@yahoo.com,3,11,84
54,,new york,65.0,2023/04/23,2021-10-07 10:00,2021-10-07 12:03,GRACE,grace@mail.com,4,9,85
55,54.0,Austin,,2021-03-30,2023-04-16 11:00,2023-04-16 11:44,sam,sam@mail.com,5,15,95
56,,LA,,2023-03-27,2022-11-02 06:00,2022-11-02 07:42, Henry ,henry@abc.com,5,15,71
57,21.0,Chicago,,2023-11-10,2023-05-21 14:00,2023-05-21 16:19,LEO,leo@abc.com,1,8,64
58,,san francisco,77.0,2023-07-15,2021-12-29 10:00,2021-12-29 12:46,KAREN,karen@mail.com,1,13,59
59,70.0,newyork,89.0,18-11-2021,2022-02-07 07:00,2022-02-07 09:44,LEO,leo@yahoo.com,2,13,66
60,,newyork,,2021-08-14,2022-09-04 08:00,2022-09-04 09:10,HENRY,henry@gmail.com,5,15,98
61,,san francisco,,2023/07/23,2022-06-12 14:00,2022-06-12 15:53,jack,jack@mail.com,3,15,97
62,68.0,san francisco,69.0,"September 22, 2023",2022-07-02 06:00,2022-07-02 07:47,frank,frank@yahoo.com,3,11,30
63,,Chicago,,2022/04/09,2021-05-19 09:00,2021-05-19 11:06, Leo ,leo@gmail.com,4,7,74
64,33.0,LA,92.0,2022-11-30,2022-02-20 10:00,2022-02-20 11:19,frank,frank@mail.com,3,9,87
65,36.0,San Francisco,40.0,"September 30, 2021",2021-12-04 15:00,2021-12-04 17:11, Oliver ,oliver@gmail.com,5,12,42
66,,miami,71.0,25-03-2021,2021-08-31 10:00,2021-08-31 10:50,peter,peter@mail.com,2,10,75
67,,LA,,25-01-2023,2023-05-15 07:00,2023-05-15 08:07,sam,sam@gmail.com,1,10,90
68,20.0,newyork,98.0,02-04-2023,2021-02-08 14:00,2021-02-08 16:23,david,david@yahoo.com,3,11,71
69,37.0,Miami,33.0,2023-07-26,2022-12-28 13:00,2022-12-28 14:19,irene,irene@mail.com,3,14,71
70,,San Francisco,,"July 24, 2023",2022-11-29 13:00,2022-11-29 13:34,charlie,charlie@gmail.com,3,9,88
71,,NYC,,30-06-2021,2022-05-26 14:00,2022-05-26 16:17, Oliver ,oliver@gmail.com,2,9,35
72,39.0,miami,,07-04-2023,2023-04-25 11:00,2023-04-25 12:41,grace,grace@abc.com,3,7,92
73,,Miami,,2021/04/12,2023-03-26 14:00,2023-03-26 14:54,CHARLIE,charlie@gmail.com,3,9,38
74,,new york,12.0,14-05-2023,2022-06-13 08:00,2022-06-13 10:04,OLIVER,oliver@mail.com,4,15,30
75,44.0,Austin,,"January 08, 2021",2021-04-20 10:00,2021-04-20 11:14,rita,rita@yahoo.com,3,7,78
76,,Austin,,22-11-2022,2022-01-27 08:00,2022-01-27 10:51,karen,karen@abc.com,4,9,96
77,54.0,new york,31.0,2022/04/22,2021-10-13 10:00,2021-10-13 11:37,leo,leo@yahoo.com,4,14,36
78,,NYC,,2023-02-21,2021-04-09 07:00,2021-04-09 08:46,jack,jack@mail.com,4,12,68
79,,newyork,,2021-12-19,2022-07-02 15:00,2022-07-02 15:40,frank,frank@abc.com,3,7,30
80,,seattle,,"June 29, 2022",2022-07-21 15:00,2022-07-21 17:38,grace,grace@yahoo.com,4,13,77
81,,Seattle,,"October 12, 2023",2022-05-31 11:00,2022-05-31 12:22, Nora ,nora@gmail.com,4,11,87
82,,Miami,60.0,2021/08/05,2021-12-21 08:00,2021-12-21 10:21, Oliver ,oliver@mail.com,2,9,31
83,29.0,chicago,,"July 25, 2022",2022-06-23 06:00,2022-06-23 06:59,GRACE,grace@abc.com,5,7,64
84,46.0,Miami,,19-10-2021,2022-10-14 14:00,2022-10-14 15:10,mia,mia@mail.com,5,9,79
85,,Austin,,2021/02/01,2023-01-16 15:00,2023-01-16 15:43,eve,eve@mail.com,1,12,30
86,26.0,,61.0,"January 02, 2021",2022-11-28 14:00,2022-11-28 16:52,eve,eve@mail.com,2,14,89
87,24.0,San Francisco,78.0,2022-04-03,2022-05-21 12:00,2022-05-21 12:42,david,david@mail.com,1,15,34
88,26.0,newyork,92.0,2022/03/12,2021-06-12 09:00,2021-06-12 09:51, Grace ,grace@yahoo.com,2,9,98
